compound,neg,neu,pos,recommendationid
0.0,0.0,1.0,0.0,93865687
-0.6115,0.119,0.881,0.0,28298190
-0.1695,0.106,0.828,0.066,50536515
-0.0772,1.0,0.0,0.0,48163440
0.3818,0.0,0.885,0.115,107557959
0.4404,0.0,0.58,0.42,151184561
-0.3612,1.0,0.0,0.0,29687707
0.4404,0.0,0.0,1.0,135130207
-0.3078,0.123,0.877,0.0,49288635
-0.6369,0.302,0.698,0.0,41297934
-0.3182,0.291,0.453,0.256,15707665
0.5859,0.0,0.0,1.0,8735274
0.0,0.0,1.0,0.0,130426799
0.85,0.0,0.816,0.184,19224066
0.4404,0.0,0.256,0.744,65053589
0.4588,0.05,0.857,0.093,49550129
-0.1695,0.106,0.894,0.0,49811763
0.9636,0.048,0.757,0.195,25242499
0.4304,0.0,0.857,0.143,22814351
0.8666,0.066,0.823,0.111,50068560
0.8765,0.068,0.781,0.151,48083595
0.2495,0.023,0.937,0.039,43882389
-0.5707,0.448,0.319,0.234,11826288
0.0,0.0,1.0,0.0,50094702
0.0,0.0,1.0,0.0,89075840
0.4404,0.0,0.0,1.0,140821610
0.5994,0.0,0.769,0.231,48058908
0.72,0.126,0.605,0.269,72704570
0.8779,0.0,0.543,0.457,49061489
-0.2018,0.108,0.801,0.091,55140554
-0.5526,0.107,0.804,0.09,51331409
0.6958,0.076,0.822,0.102,41080484
0.8934,0.047,0.798,0.156,46796962
0.0,0.0,1.0,0.0,52947018
0.6369,0.0,0.417,0.583,19663623
-0.8761,0.175,0.718,0.107,64872218
0.8126,0.0,0.448,0.552,115861333
0.8605,0.0,0.729,0.271,63799275
-0.765,0.375,0.625,0.0,49304741
-0.9544,0.346,0.601,0.053,49292737
-0.1511,0.541,0.0,0.459,9691046
0.0,0.0,1.0,0.0,107703724
0.1772,0.104,0.764,0.131,49291681
0.0,0.0,1.0,0.0,48677562
0.9547,0.0,0.34,0.66,12467975
0.3182,0.15,0.637,0.213,48091517
0.0,0.0,1.0,0.0,101149146
0.5106,0.0,0.0,1.0,49568026
0.9858,0.0,0.816,0.184,15753005
0.0,0.0,1.0,0.0,51057165
0.0,0.0,1.0,0.0,75792786
-0.8754,0.367,0.633,0.0,51116959
-0.34,0.089,0.861,0.05,49667393
0.7906,0.0,0.462,0.538,118761205
0.5106,0.0,0.476,0.524,91038057
0.9097,0.0,0.767,0.233,11708691
-0.4019,0.114,0.886,0.0,54015352
0.4019,0.0,0.0,1.0,75905494
0.7495,0.052,0.871,0.077,49343942
0.4404,0.0,0.791,0.209,46175515
0.7906,0.0,0.533,0.467,49315177
-0.5719,0.381,0.619,0.0,49359899
0.3716,0.072,0.826,0.103,51075402
-0.9856,0.189,0.69,0.121,45576441
0.0,0.0,1.0,0.0,16984113
0.7579,0.0,0.649,0.351,138852556
0.9345,0.048,0.844,0.108,9715182
0.9955,0.051,0.795,0.154,41089492
0.9802,0.058,0.763,0.179,48306241
0.932,0.0,0.771,0.229,11309404
0.6558,0.056,0.819,0.124,9758599
-0.316,0.382,0.434,0.183,48568841
0.5927,0.05,0.797,0.153,50533622
0.914,0.072,0.705,0.223,50711140
0.8598,0.114,0.731,0.156,50043157
-0.4039,0.184,0.721,0.095,59079419
0.6,0.188,0.559,0.252,44894578
0.8555,0.0,0.598,0.402,49325161
0.296,0.322,0.222,0.456,56389197
0.0,0.0,1.0,0.0,49299753
0.9392,0.031,0.704,0.265,129481838
0.8377,0.0,0.766,0.234,70982006
0.7088,0.148,0.437,0.415,75399499
0.6428,0.0,0.696,0.304,51085054
-0.325,0.273,0.595,0.132,31380080
0.6249,0.0,0.423,0.577,11880983
0.0,0.0,1.0,0.0,92175783
0.2263,0.043,0.896,0.062,45674453
0.0,0.0,1.0,0.0,144895397
0.9971,0.054,0.711,0.236,15774228
0.2732,0.0,0.916,0.084,43161517
-0.5096,0.18,0.82,0.0,51231100
0.8516,0.0,0.617,0.383,68243539
-0.9265,0.222,0.778,0.0,49028358
0.25,0.092,0.761,0.147,20014797
-0.8442,0.134,0.748,0.117,49293057
0.5563,0.0,0.358,0.642,97697062
0.0,0.0,1.0,0.0,18452175
0.8455,0.065,0.823,0.112,49331516
-0.3804,0.722,0.278,0.0,51246411
-0.4449,0.157,0.843,0.0,65989109
