reviewerid,review_cnt,response_cnt,voted_up_cnt,votes_up_cnt,votes_funny_cnt,comment_count,game_count
76561198162897629,1,1,0,20,0,2,124
76561198220401073,1,0,1,0,0,0,0
76561198058539311,1,0,1,0,0,0,0
76561198041964304,1,0,1,0,0,0,618
76561198096979625,1,1,0,6,0,1,0
76561198059309845,1,1,0,3,1,0,0
76561198423742971,1,0,1,0,0,0,0
76561197966191778,1,0,0,2,0,0,725
76561198169774143,1,0,1,0,0,0,0
76561198059223412,1,0,1,0,0,0,0
76561198057263624,1,0,1,0,0,0,0
76561198981830183,1,0,1,1,0,0,0
76561198017937683,1,0,1,0,0,0,256
76561198156890790,1,0,1,1,0,0,187
76561198413750082,1,1,1,0,0,11,132
76561198806515853,1,0,1,0,0,0,104
76561197970617636,1,1,0,17,0,6,0
76561198138685765,1,1,1,0,0,0,0
76561198018615750,1,1,0,1,0,0,526
76561198067448963,1,0,1,0,0,0,0
76561198059481010,1,0,1,0,0,0,0
76561197991244119,1,0,0,0,0,0,0
76561198141705320,1,0,1,1,0,0,142
76561197986530868,1,1,0,1,0,0,0
76561198057795530,1,0,1,0,0,0,585
76561198003225406,1,1,0,1,1,0,398
76561198156035299,1,0,1,2,1,0,257
76561198137438035,1,0,0,2,0,0,0
76561198236694774,1,1,0,1,0,0,0
76561198283178314,1,0,1,0,0,0,87
76561198088371058,1,0,0,3,0,1,0
76561197975906547,1,1,0,1,0,0,0
76561198415404140,1,1,0,3,0,3,236
76561199082383426,1,0,1,0,0,0,0
76561199430364440,1,0,1,0,0,0,35
76561197962239223,1,0,0,4,0,0,373
76561199273895748,1,0,1,0,0,0,0
76561198004742581,1,1,1,0,0,0,64
76561198208865671,1,1,0,6,2,0,0
76561198140582399,1,0,1,0,0,0,0
76561198033347557,1,0,1,0,0,0,124
76561198229323396,1,0,1,0,0,0,254
76561198066428584,1,0,1,0,0,0,123
76561198997598432,1,0,1,0,0,0,0
76561198032029736,1,1,0,3,0,0,0
76561198082181172,1,1,0,2,1,0,0
76561197992703099,1,0,1,0,0,0,0
76561198121002842,1,0,1,0,0,0,0
76561198080040869,1,1,0,6,0,0,426
76561198002367522,1,1,0,4,0,2,248
