recommendationid,reviewerid,review_count,game_count,playtime_forever,playtime_at_review,playtime_last_two_week
87708013,76561198273401529,1,0,1266,1266,0
87682536,76561198828230775,36,84,16,16,0
87627488,76561197975282558,11,699,18,18,0
87595232,76561198811397120,3,0,1383,1360,0
87557888,76561198045618928,9,0,1469,1340,0
87537126,76561198028691478,10,121,1768,1768,0
87534356,76561198147909345,13,41,163,163,0
87502372,76561198006213686,255,1421,99,99,0
87455670,76561198330287812,5,0,1509,1128,0
87375451,76561198101724710,8,0,1027,1027,0
87368270,76561198051708532,72,287,2533,2370,0
87361500,76561198053686732,2,73,23782,23782,0
87332417,76561198261078092,10,0,62,62,0
87303434,76561199050855518,44,55,2022,1013,0
87265605,76561198025206464,19,0,107119,98497,0
87258381,76561198066864815,4,47,31735,31683,0
87200732,76561197963130191,12,278,18153,6811,0
87160381,76561198116225474,11,47,323,323,0
87123491,76561199000515100,3,0,19883,832,0
87123282,76561198136288216,8,0,39,39,0
87067126,76561198985455692,2,0,498,287,0
87042605,76561197993756185,16,321,1778,1778,0
87041235,76561198253246000,19,93,7659,7659,0
87034973,76561198347586366,14,0,403,225,0
87001524,76561197994802532,30,0,2371,1999,0
87000390,76561198163241783,15,198,27315,24502,0
86925918,76561198068331350,29,173,58,58,0
86830678,76561198974071721,1,0,180012,1436,0
86827451,76561198319168858,18,106,155,117,0
86767185,76561197999393261,3,0,2159,2159,0
86619524,76561198151512313,13,95,772,738,0
86584547,76561198278133871,10,26,531,531,0
86578595,76561197993621237,48,744,4084,3507,0
86548918,76561198421202726,17,53,191,191,0
86504730,76561198869543360,18,0,4658,3623,0
86474480,76561197971390874,43,378,6551,6551,0
86435126,76561198001197762,79,762,372,372,0
86430225,76561198398635389,2,0,14537,5222,0
86426945,76561198003930912,14,791,1938,1938,0
86418666,76561198805242584,7,136,761,761,0
86396552,76561198003180607,3,0,34232,17033,0
86335016,76561198362264270,9,0,22,22,0
86204848,76561198199029249,24,148,18246,14490,0
86137614,76561197978987347,18,243,9661,9204,0
86074692,76561198137379035,16,0,3903,3680,0
