compound,neg,neu,pos,recommendationid,length,readability_score
0.5943,0.0,0.804,0.196,128687152,2.0530784434834195,84.15181818181821
0.7351,0.089,0.738,0.174,50689328,2.477121254719662,60.4795
0.7068,0.082,0.757,0.161,161811420,2.421603926869831,69.79787735849058
-0.4215,0.583,0.417,0.0,158903157,1.1139433523068367,100.0
0.1877,0.0,0.863,0.137,158686750,1.863322860120456,100.0
0.7845,0.025,0.906,0.069,151360402,2.8555191556678,63.80025641025642
0.0496,0.071,0.857,0.072,143325892,3.229425847920695,77.03320677570095
0.34,0.0,0.912,0.088,142098576,2.117271295655764,103.6767948717949
0.3182,0.0,0.635,0.365,142096678,1.556302500767287,100.0
0.6151,0.084,0.808,0.107,141433986,2.803457115648414,47.25212643678164
0.2185,0.08,0.825,0.094,140946414,3.144885418287142,54.40152610441767
0.0,0.0,1.0,0.0,140438264,1.4771212547196624,100.0
-0.9611,0.206,0.676,0.118,138591256,2.9153998352122694,61.540153256705
0.5165,0.05,0.819,0.131,138122084,2.453318340047037,63.69500000000001
0.9529,0.029,0.82,0.151,137878645,2.8182258936139557,84.85805767599665
0.9175,0.0,0.481,0.519,137303055,1.982271233039568,100.0
0.7855,0.054,0.805,0.141,132957275,2.678518379040114,74.08125000000003
0.914,0.102,0.707,0.19,132822300,2.800029359244134,86.21909726637
-0.8209,0.085,0.856,0.059,131715210,3.035029282202368,70.21045454545455
-0.6124,0.464,0.362,0.174,130416594,1.57978359661681,100.0
-0.0772,0.302,0.698,0.0,128562102,1.380211241711606,100.0
-0.9886,0.166,0.744,0.09,127916173,3.3220124385824,67.93764339826839
0.8442,0.075,0.803,0.122,127335136,2.9111576087399764,68.78833701250922
-0.8446,0.125,0.847,0.027,125553130,2.770852011642144,63.62317307692311
0.9912,0.075,0.808,0.117,123826303,3.616790486329716,80.76564215686278
-0.7964,0.093,0.862,0.045,123382290,2.813580988568192,61.656379310344846
0.0,0.0,1.0,0.0,122000424,1.6334684555795864,100.0
-0.4344,0.115,0.805,0.08,121704297,2.814913181275074,76.28241935483874
-0.9399,0.11,0.774,0.116,120930726,3.7808211758534727,71.07015883821194
0.8181,0.084,0.653,0.263,120532395,2.2671717284030133,89.60000000000004
-0.3098,0.14,0.86,0.0,119847123,2.041392685158225,101.2706818181818
-0.2755,0.513,0.487,0.0,119584091,1.301029995663981,100.0
0.8909,0.07,0.83,0.1,119383240,3.1616674124377355,80.2499404761905
-0.4215,0.219,0.781,0.0,118962420,1.7923916894982537,100.0
0.7455,0.145,0.681,0.174,118951874,2.9717395908877777,95.0490067986994
0.0,0.0,1.0,0.0,117741036,1.5682017240669948,100.0
0.5679,0.076,0.797,0.127,117461277,2.742725131304698,76.30564625850343
0.7096,0.137,0.714,0.149,116687813,2.8109042806687,-37.2078625954198
0.2575,0.178,0.622,0.201,116451122,2.3138672203691533,56.37808823529414
