recommendationid,readability_score
120943196,71.15428571428575
120907276,55.98100000000001
120511919,80.59650735294117
120240407,80.27104756742109
120043424,100.0
119838723,60.750645161290336
119821830,66.45179455445546
119647921,100.0
119561872,103.00500000000001
119410697,55.952500000000015
119218584,73.24769230769233
119190821,100.0
118990008,66.85500000000003
118918983,79.08534610347085
118637210,75.50688659793816
118612665,100.0
118527238,72.57602941176474
118480503,100.0
118472276,100.0
118378255,100.0
118302438,73.41226315789477
118298820,100.0
118264112,89.9372955974843
118217796,100.0
118099278,57.21154761904765
118011529,100.0
117943413,100.0
117942534,61.12304093567255
117908882,32.99000000000004
117907324,73.63212121212125
117886165,62.62500000000003
117818715,70.54311403508774
117735732,100.0
117730331,100.0
117687591,68.86177474688313
117463446,58.60136363636366
117427120,100.0
117245920,62.875756097560995
117245833,82.66254385964915
117168344,100.0
117163204,75.36461538461539
117097108,48.66132352941179
117096090,100.0
117090457,36.242857142857176
117077417,78.79095060190951
117070468,74.01500000000001
117044539,81.91060344827588
117042048,100.0
117038170,74.41054237288137
117031864,100.0
117009881,100.0
116996966,79.5259523809524
116975640,80.20000000000003
116952460,67.32894736842107
116948913,57.86321428571432
116872351,100.0
116869481,80.33250000000004
116852576,100.0
116791131,35.309411764705914
116772095,65.79821428571432
116753676,61.22791965566715
116752853,67.67000000000002
116747983,100.0
116739965,87.27000000000001
116680970,77.16239224137931
116675462,71.75530075981429
116614772,100.0
116592365,88.63904761904763
116589483,48.1675442913386
116563772,100.0
116475920,100.0
116436722,100.0
116426926,71.62625000000001
116392634,81.33387012987015
116391470,64.79681159420292
116316486,45.60837719298249
116278360,64.55184593023259
116275118,61.96043478260873
116248934,100.0
116209137,64.08253741496603
116199289,73.43925287356323
116171322,78.50283146067416
116087525,100.0
116055925,80.93586854460095
116021816,75.42784482758621
115831030,84.2527741935484
115805224,100.0
115732026,62.977771017699155
115727753,81.6145535207844
115715513,91.84272727272729
115686735,100.015
115686010,100.0
115674676,76.55333333333336
115664979,50.878813559322055
115626789,88.72674180327871
115589081,63.62758620689657
115584634,49.910000000000025
115577609,100.0
115573849,62.234612068965546
115569330,100.0
115460250,90.16043478260872
115453459,100.0
115451365,70.1377272727273
115413858,68.0661842105263
115411117,57.564272727272765
115406861,44.791948051948054
115358737,78.07098258706468
115349316,57.25918181818183
115310599,76.67391949152544
115303497,81.42308823529413
115283522,44.66551724137932
115280158,100.0
115277553,100.0
115266491,100.0
115244581,58.36325000000002
115230643,69.13684883720931
115220901,65.31711904761906
115215466,86.33494565217393
115205347,92.86057692307695
115200027,83.85866666666666
115200019,100.0
115168487,71.51207547169813
115167065,84.57909090909094
115162527,76.93000000000002
115117341,75.11027777777781
115106834,67.88552631578949
115096986,72.13333333333334
115094109,64.00600961538466
115091732,100.0
115076189,73.17000000000003
115069856,65.55932960893855
115039533,54.87586206896553
115039450,96.01150000000003
115031631,68.80462751260622
115022860,60.767430463576176
115019816,100.0
115015904,85.08115414915969
115011587,71.2218699186992
114998827,69.99384615384618
114998147,62.9229272151899
114993896,78.24800000000002
114991799,30.658235294117674
114986424,64.26892675159239
114979780,100.0
114977790,58.863105263157905
114968781,56.26779704560053
114968330,65.16186106346485
114964245,62.72734767025091
114959153,100.0
114951602,78.971
114951285,100.0
114946845,0.4579411764706265
114946510,71.62625000000001
114945034,58.38996867167921
114942876,74.02042341220424
114942843,100.0
114941945,100.0
114941834,71.41205882352942
114934676,65.01687500000001
114934037,70.98865384615387
114930367,56.1296428571429
114929669,88.22488636363639
114923971,68.70226033057854
114923523,70.1679411764706
114921460,100.0
114921317,71.65406646751308
114917927,81.13558558558559
114917608,72.7019587628866
114917554,48.09621621621622
114916777,100.0
114912186,57.69277038527001
114909290,86.70500000000001
114907269,68.17253640776701
114906134,66.40166666666669
114905718,100.0
114902649,100.0
114896387,68.99321739130436
114893860,67.35310844667146
114893845,100.0
114891732,68.2960483870968
114891141,71.6926582278481
114891019,34.89714285714288
97265768,71.54701143016449
49804142,72.80484848484848
49657738,93.33171428571431
122014415,74.48688405797104
109647332,36.30633177570097
98106288,80.02819320214671
97443035,73.37732292460018
50201374,100.0
50036689,100.0
54798943,85.3100434782609
50844816,78.61089743589746
112898404,48.501483453784715
49947533,78.38363636363638
49624637,59.636000000000024
49602711,107.60000000000001
49592135,78.5693181818182
49548966,74.17158064516131
54588885,100.0
78490132,100.0
64437655,56.645862854251035
58797969,43.27014705882357
54081134,61.04584930313591
53853701,71.05789473684212
49959528,-14.005161290322562
103174260,100.0
100095904,66.79435714285715
99911400,100.0
97588926,64.1380836454432
97574670,95.68818181818183
97263581,87.48875000000001
97211218,58.29177957214766
83513395,100.0
83175606,90.3307142857143
81559083,61.19285714285715
81114796,72.19055446194226
77185248,75.79642857142858
76981046,58.537823529411796
76302827,79.09233333333336
74902079,96.05676305970152
74744643,76.0588235294118
74622317,76.67363157894738
74537098,72.82578057553958
74515282,82.32708333333336
74391790,82.19333333333336
74284106,81.42407894736841
74278682,69.8156312700642
92688625,61.97199353945548
92678567,81.60569930069931
92623242,81.23232558139534
122545628,49.2600384615385
82977755,100.0
96639065,100.0
92076947,50.230000000000004
90749723,84.02803030303033
90330393,100.0
81513421,60.92463701431497
115703538,84.51861842105264
106138953,55.12500000000003
99136243,100.0
91504140,100.0
90174534,34.77814385150815
90161322,25.187602040816344
89043934,26.404090909090954
87837944,72.61545454545457
87349722,42.52500000000002
86939355,87.42583333333336
75231733,64.36052631578949
74484846,79.49557894736843
73012366,78.443397260274
66062571,58.966271929824586
65503275,73.17000000000003
54044189,82.67951807228917
51091016,77.30160337552745
51055537,79.60230136986304
51054762,93.88361413528467
51053858,64.69470967741938
55067992,100.0
122389932,74.79254545454546
109271879,68.0661842105263
106473653,81.94120967741938
69206644,100.0
67527175,68.01407523510973
65845942,70.08569536423842
133897168,81.14000000000003
114763582,45.980362318840605
114636430,71.39774742268044
114630048,100.0
114971159,69.78400000000002
55712136,25.147464788732407
159039635,60.11800000000002
