topic_0,topic_1,topic_2,recommendationid
0.02028838804476694,0.8890772134911824,0.09063439846405072,128756732
0.1057957452818067,0.39462841387739916,0.4995758408407941,128698240
0.03488535679377548,0.03382087232704634,0.9312937708791782,128687152
0.01669025248298398,0.9149957868401852,0.06831396067683072,50689328
0.2374250596762205,0.18402587334320597,0.5785490669805736,161811420
0.12350571354312673,0.7554842794269059,0.12101000702996738,158903157
0.04823858078859178,0.9117877622360926,0.039973656975315464,158686750
0.006728664509661002,0.006511641788404268,0.9867596937019347,151360402
0.8183321334715706,0.045222530949267536,0.1364453355791618,143325892
0.0263890154889389,0.9473223852794537,0.026288599231607455,142098576
0.08851305726577197,0.8214410813526318,0.09004586138159619,142096678
0.44125488614764286,0.46321133496738753,0.09553377888496963,141433986
0.07255295777385172,0.3242328960850921,0.6032141461410563,140946414
0.1009255511142083,0.09080797938190352,0.8082664695038881,140438264
0.005584236666590481,0.0065929178166566895,0.9878228455167528,138591256
0.8692970470324505,0.11555435894462333,0.015148594022926136,138122084
0.007678829986410995,0.007044057392363152,0.9852771126212259,137878645
0.046763652880420045,0.04609415246395144,0.9071421946556285,137303055
0.08300413179444235,0.24576150567380017,0.6712343625317575,132957275
0.0072213999288240184,0.8130634272388719,0.17971517283230407,132822300
0.0040393012307878605,0.18315536818540118,0.8128053305838109,131715210
0.09220904518118718,0.8072785968004784,0.10051235801833446,130416594
0.11841501894292575,0.1116224444881781,0.7699625365688961,128562102
0.9954520458009259,0.002138657104447526,0.0024092970946265877,127916173
0.3101468765240822,0.0063348298086677276,0.6835182936672501,127335136
0.009409815456225153,0.525625126987861,0.4649650575559139,125553130
0.4467720187069811,0.0012378936036858033,0.5519900876893331,123826303
0.1488904083467192,0.11093552608872975,0.7401740655645511,123382290
0.07078210128051658,0.07021317310680789,0.8590047256126756,122000424
0.12302265423681123,0.006390241147170135,0.8705871046160186,121704297
0.4157812914292432,0.0961967956741715,0.48802191289658525,120930726
0.02775548292637419,0.025342011654582188,0.9469025054190436,120532395
0.036588204758670105,0.20489606381889863,0.7585157314224313,119847123
0.181336506753063,0.21031260536174107,0.608350887885196,119584091
0.00420227097475184,0.00440703142079233,0.9913906976044559,119383240
0.6215824802656466,0.29377064663558533,0.08464687309876806,118962420
0.17171193443008947,0.005273356846548696,0.8230147087233618,118951874
