compound,neg,neu,pos,recommendationid,length,readability_score,reviewerid,appid,review_count,game_count,playtime_forever,playtime_at_review,playtime_last_two_week,voted_up,votes_up,votes_funny,comment_count,steam_purchase,received_for_free,written_during_early_access
0.6369,0.0,0.417,0.583,435515,1.3424226808222062,100.0,76561197970602551,227000,4,0,313,0,0,1,0,0,0,1,0,0
0.933,0.0,0.535,0.465,443856,1.968482948553935,100.0,76561197970658986,227000,3,0,228,228,0,1,0,0,0,1,0,0
0.6705,0.04,0.828,0.131,451798,2.34439227368511,74.66196969696972,76561197970716162,227000,3,0,555,555,0,1,0,0,0,1,0,0
0.9332,0.0,0.609,0.391,482380,2.2095150145426303,76.48314516129035,76561197970980238,227000,85,0,574,499,0,1,0,0,0,0,0,0
0.4215,0.112,0.741,0.146,496233,2.3138672203691533,60.88302325581397,76561197971139530,230190,46,0,1445,803,0,1,1,0,2,1,0,1
-0.5994,0.162,0.747,0.091,523574,2.4132997640812515,70.70875000000001,76561197971532050,227000,214,0,185,185,0,1,0,0,0,0,0,0
0.9292,0.0,0.727,0.273,534917,2.2671717284030133,73.7331756756757,76561197971730480,227000,52,1811,366,366,0,1,0,0,0,1,0,0
0.8566,0.0,0.723,0.277,554305,2.1367205671564067,73.84500000000001,76561197972103428,227000,42,0,439,367,0,1,0,0,0,1,0,0
0.9698,0.018,0.634,0.348,560829,2.477121254719662,68.3669230769231,76561197972226499,227000,31,821,440,440,0,1,2,0,0,1,0,0
0.9431,0.0,0.6,0.4,583041,2.1583624920952493,92.91,76561197972445688,227000,58,426,1557,1557,0,1,0,0,0,1,0,0
0.7542,0.0,0.402,0.598,593735,1.6434526764861872,100.0,76561197972596740,227000,13,0,345,345,0,1,0,0,0,1,0,0
0.5124,0.117,0.559,0.323,618512,1.8864907251724816,100.0,76561197973181104,227000,17,506,417,417,0,1,0,0,0,1,0,0
0.9428,0.021,0.814,0.165,711306,2.7986506454452686,45.41038461538463,76561197976237743,227000,125,0,1186,248,0,1,0,0,0,0,0,0
0.0,0.0,1.0,0.0,755443,1.3617278360175928,100.0,76561197977470239,227000,39,0,378,302,0,1,1,0,1,1,0,0
0.5859,0.0,0.789,0.211,835342,1.9956351945975497,100.0,76561197979827881,227000,147,1956,192,116,0,1,0,0,0,0,0,0
0.6269,0.106,0.764,0.13,875587,2.992111487786949,79.3486210865562,76561197980770933,227000,11,0,657,657,0,1,0,0,0,1,0,0
0.9522,0.05,0.677,0.273,927104,2.5877109650189114,58.94764705882355,76561197982255944,227000,17,953,864,311,0,1,0,0,0,0,0,0
0.6573,0.137,0.519,0.344,932629,1.869231719730976,100.0,76561197982405795,227000,56,0,1999,1145,0,1,0,0,0,1,0,0
0.9217,0.046,0.733,0.22,967114,2.60422605308447,54.9339411764706,76561197983250285,227000,15,0,542,447,0,1,5,0,0,1,0,0
0.9389,0.0,0.758,0.242,1002699,2.5943925503754266,67.8188181818182,76561197984112729,227000,9,426,766,551,0,1,0,0,0,1,0,0
0.9287,0.0,0.741,0.259,1010581,2.3729120029701067,83.6175,76561197984313865,227000,11,0,72,71,0,1,0,0,0,1,0,0
0.9287,0.0,0.639,0.361,1053961,2.220108088040055,84.45000000000003,76561197985430928,227000,28,794,385,385,0,1,0,0,0,1,0,0
0.969,0.0,0.797,0.203,1059644,2.7678976160180904,78.29598214285716,76561197985583657,227000,7,0,346,346,0,1,0,0,0,1,0,0
0.0,0.0,1.0,0.0,1084356,1.3979400086720375,100.0,76561197986248295,227000,18,0,156,156,0,1,0,0,0,1,0,0
0.9708,0.035,0.828,0.137,1091198,3.0119931146592567,60.9435531767956,76561197986457772,227000,55,1097,378,378,0,1,0,0,0,1,0,0
0.3913,0.022,0.931,0.046,1093062,2.777426822389311,64.79833333333333,76561197986511953,227000,311,781,116,113,0,1,2,0,0,1,0,0
0.6166,0.0,0.498,0.502,1120587,1.3979400086720375,100.0,76561197987178357,230190,1,141,1338,24,0,1,1,0,0,1,0,1
0.9741,0.0,0.686,0.314,1170093,2.5465426634781307,75.50972727272729,76561197988371092,227000,45,0,685,685,0,1,4,0,0,1,0,0
0.8528,0.0,0.6,0.4,1182254,2.0,100.0,76561197988667862,227000,24,571,731,731,0,1,0,0,0,0,0,0
0.9552,0.022,0.674,0.303,1244294,2.468347330412157,59.04034013605445,76561197989969322,227000,47,762,328,328,0,1,1,0,0,0,0,0
0.567,0.125,0.695,0.18,1254257,2.5740312677277184,73.1421739130435,76561197990162989,227000,16,0,380,380,0,1,0,0,0,1,0,0
0.9442,0.0,0.499,0.501,1274955,2.2121876044039577,41.86750000000001,76561197990501076,227000,38,2216,497,497,0,1,4,0,0,1,0,0
0.9858,0.0,0.46,0.54,1319691,2.320146286111054,68.715,76561197991337948,227000,11,0,457,457,0,1,1,0,0,1,0,0
0.7843,0.034,0.762,0.204,1331398,2.294466226161593,79.51375000000003,76561197991552311,227000,37,0,487,396,0,1,4,0,0,0,0,0
0.9746,0.013,0.755,0.232,1343908,2.7520484478194382,70.95088235294119,76561197991781177,227000,22,0,444,444,0,1,0,0,0,1,0,0
0.6705,0.0,0.476,0.524,1407208,1.5185139398778873,100.0,76561197992874804,230190,11,1586,242748,18609,0,1,31,34,8,0,0,1
0.8932,0.0,0.584,0.416,1413832,2.123851640967086,14.66500000000002,76561197992984035,227000,5,1163,558,558,0,1,1,1,0,0,0,0
0.3182,0.0,0.839,0.161,1424850,1.8388490907372552,100.0,76561197993149101,227000,15,0,367,157,0,1,1,0,0,0,0,0
0.9712,0.0,0.444,0.556,1432847,2.2504200023088936,50.433333333333366,76561197993223432,227000,1,0,108,0,0,1,0,0,0,1,0,0
0.9081,0.13,0.546,0.324,1498350,2.4742162640762557,43.182500000000005,76561197993827394,227000,43,1856,522,522,0,1,0,0,0,1,0,0
0.9441,0.0,0.731,0.269,1525274,2.551449997972875,75.50000000000003,76561197994200394,227000,3,0,1120,1120,0,1,0,0,0,0,0,0
0.9743,0.034,0.7,0.265,1559705,2.65991620006985,60.149898734177214,76561197994728746,227000,11,1024,920,920,0,1,0,0,0,0,0,0
0.9674,0.0,0.366,0.634,1585173,2.021189299069938,75.50000000000003,76561197995123637,227000,34,421,340,268,0,1,1,0,0,0,0,0
0.8176,0.0,0.634,0.366,1591539,1.9912260756924949,100.0,76561197995189004,227000,32,0,941,778,0,1,0,0,0,1,0,0
0.8316,0.0,0.645,0.355,1635633,2.0170333392987803,72.51881578947369,76561197995683335,227000,2,0,503,283,0,1,0,0,0,1,0,0
