recommendationid,brevity
51484660,7
48919971,75
49435576,40
120343960,6
71752040,85
28543789,134
18302333,42
55193083,119
49314547,66
49441196,125
40012359,17
12668673,53
49300381,3
45724122,28
142448760,19
20154563,87
13841694,2
60566611,1
13488550,35
45289650,20
50964610,57
108330615,1
51131070,103
49465300,5
29056885,19
11562265,9
8522720,51
50619165,14
69209825,14
49285302,29
72454571,4
55029023,143
84253097,3
147165477,22
51140555,44
57060497,4
94089422,55
13895667,69
49303847,64
49301660,23
68328167,6
57104391,1
57429553,22
137876487,1
49293952,48
21656740,3
71357650,1
84700272,8
100777094,24
87107106,3
71987469,4
50411677,45
17545222,10
86556800,35
10148918,6
50710928,23
49985495,179
94312491,12
49329935,3
51438839,25
49288790,3
59114046,75
45321536,5
65240238,1
49938017,23
49310744,51
43155883,20
47953279,48
43135445,43
57246886,1
48881913,4
50119215,24
50036682,616
49290779,20
43971114,13
50108900,160
52245636,4
22603954,15
89469425,27
43389232,90
21612515,86
9799603,2
48424531,116
45598196,90
48649645,183
51453229,31
70944579,1
49015988,117
15556365,34
32276036,5
50119396,264
14557281,26
50209097,40
50035604,112
12838674,21
17479783,31
55053316,26
61556934,48
50221663,15
69143864,7
48783425,64
12732283,156
14057905,3
50449374,13
105396662,34
31229338,117
18525016,57
49322518,7
49323135,213
9712141,6
49947522,12
43636775,74
49402354,265
50055760,34
78041885,2
49304109,41
49489357,10
43700431,140
14089215,12
57979244,127
125508154,44
14599050,3
8612144,4
44899469,150
10408828,83
7484426,45
43637186,15
49322082,124
43770250,22
49589436,13
12488456,240
48810898,107
50557937,22
49345820,66
49035899,1
19218914,21
49285715,96
40964109,8
86084209,40
120638900,3
48141801,83
58220767,3
128706023,5
115462427,17
48992911,138
56436705,10
49333801,182
49350874,23
49301709,100
43968280,17
68017668,27
69706744,6
103150616,8
58099014,3
26225067,102
91494230,5
50881929,91
50470063,268
52559916,193
45317333,93
47162868,176
49321023,43
49304280,47
25038310,168
142387365,6
34028083,19
49284992,25
50035143,77
49297853,79
48306713,54
49306733,15
25042383,16
31674880,13
49325410,204
51038970,337
76904725,27
49304614,45
26583704,5
41516420,36
150010183,9
47481412,14
49327024,7
49310001,250
9739870,1
14603460,44
84994721,2
49589905,69
49305888,46
33111209,1
49141084,7
48623632,57
51122047,146
55187414,86
7516370,12
50076153,153
49994194,15
148974938,2
50052040,42
48611869,81
50034510,95
21105089,26
45398321,3
44153397,21
20920850,16
50053524,36
49466699,10
51049266,10
49325811,28
43747796,1
49288901,14
21738782,33
160503277,1
63228256,20
114956799,2
8942360,6
38938227,14
26687944,2
50699198,90
101894416,11
14939925,60
52039287,6
49554032,85
49481461,50
55042343,399
43449544,54
10817511,88
143306584,48
49475515,2
56221146,1
50055768,150
132408768,1
51249346,83
46684973,17
19201191,16
48947412,5
48773724,41
9125018,1
51049265,128
20499051,7
89016907,21
55027952,31
96071915,11
48231199,13
46965177,11
48495219,13
9163159,23
14411062,5
51047252,21
49495917,195
10853867,23
50154336,281
44940191,73
16819042,1
45274384,3
32093092,27
24207203,195
80577701,13
57937635,14
49287297,30
33174268,2
49377655,30
50037709,62
15155865,5
49521914,1
38289405,5
14588157,2
50034893,96
22015911,28
49683775,80
44904877,45
49300089,84
57256226,2
70222690,2
51449132,79
81554642,1
60629436,1
49287433,99
133106341,41
50425933,32
49857514,22
49285415,43
49304836,41
11267804,1
50386238,23
50034642,111
49339917,48
51428590,103
61835037,1
18102147,15
14793078,9
49487159,2
44107905,24
39946949,9
68465523,3
48066072,20
21844896,69
103922933,11
49465560,23
80750470,8
113170351,53
47579063,88
60845847,16
51087255,115
